"","cod","ano","at","pl","ll","ebit","deb_cp","deb_lp","rec","vm","setor","pat","debt","dif_ano","l_vm","l_at","ebit_at","pl_at","log_vm","log_at","var_rec","risk","effi","crise","ifrs","ebit_ifrs","pl_ifrs","div_at"
"1","ABEV3.SA",2005,33401781000,19867339000,1748505000,2811031000,1209392000,5994152000,15958565000,25943566095.9999,"Consumer Non-Cyclicals",13534442000,7203544000,1,32227679160,33016564000,0.0851400224444918,0.601738539479759,23.9791894811739,24.2318750588607,-0.185842628957022,0.354122174599282,0.477775870693841,0,0,0,0,0.215663470160468
"2","ABEV3.SA",2006,35560860000,19268063000,3000681000,4307255000,2104644000,7461944000,17613657000,32547261198.9998,"Consumer Non-Cyclicals",16292797000,9566588000,1,25943566095.9999,33401781000,0.128952854340312,0.576857353803978,24.2059590607091,24.2945114317766,0.00713025500456001,-0.00270058856900723,0.49531020903319,0,0,0,0,0.269020153055916
"3","ABEV3.SA",2007,37680403000,18119987000,5092249000,6667710000,2270538000,7530339000,19579512000,43131840999.9998,"Consumer Non-Cyclicals",19560416000,9800877000,1,32547261198.9998,35560860000,0.18750137088923,0.509548616090837,24.4875273316013,24.3524059819265,-0.0495225988451811,-0.110558909714976,0.519620557136823,0,0,0,0,0.260105418723892
"4","ABEV3.SA",2008,41812972000,20787517000,5179845000,6698794000,3588204000,7042125000,20713181000,29295635784.1298,"Consumer Non-Cyclicals",21025455000,10630329000,1,43131840999.9998,37680403000,0.177779255704882,0.55167979493213,24.1007043925283,24.4564724632614,0.0568388856164027,-0.222956135454939,0.495376913174218,1,0,0,0,0.254235192848765
"5","ABEV3.SA",2009,40101017000,22017450000,5986050000,9178571000,801064000,6460173000,23194048000,51122699370,"Consumer Non-Cyclicals",18083567000,7261237000,1,29295635784.1298,41812972000,0.219514915132079,0.526569840574834,24.657494450199,24.4146675325333,-0.0288561800854862,0.163525449304005,0.578390518125762,1,0,0,0,0.181073637110001
"6","ABEV3.SA",2010,42678300000,24361863000,7561383000,10023094000,2606228000,4155686000,25233310000,75684769146,"Consumer Non-Cyclicals",18316437000,6761914000,1,51122699370,40101017000,0.249946129795162,0.607512348128228,25.0498427769614,24.476956431284,-0.0119150169865683,0.101200500294328,0.591244496617719,0,1,0.249946129795162,0.607512348128228,0.158439159947795
"7","ABEV3.SA",2011,46139418000,25611320000,8640976000,11709923000,2212078000,1890208000,27126719000,95611989072.5999,"Consumer Non-Cyclicals",20528098000,4102286000,1,75684769146,42678300000,0.274376509842238,0.600101691023307,25.28356405785,24.5549334758283,0.100056140865053,0.464975568791079,0.587929370933981,0,1,0.274376509842238,0.600101691023307,0.0889106576940351
"8","ABEV3.SA",2012,61832875000,25206600000,6327291000,13630320000,837772000,2287402000,32231027000,146932469129.7,"Consumer Non-Cyclicals",36626275000,3125174000,1,95611989072.5999,46139418000,0.295415949980123,0.546313783151751,25.713238924496,24.8477010178994,-0.0877342258798306,-0.918080713014078,0.521260365137477,0,1,0.295415949980123,0.546313783151751,0.0505422722136081
"9","ABEV3.SA",2013,69085180000,42992457000,9557324000,15442191000,1040603000,1845846000,35079107000,271305322845.198,"Consumer Non-Cyclicals",26092723000,2886449000,1,146932469129.7,61832875000,0.249740789183747,0.695300954387128,26.3265106761947,24.9586060729376,-0.00259827195779637,0.476033881030821,0.507766021598265,0,1,0.249740789183747,0.695300954387128,0.0417810158416031
"10","ABEV3.SA",2014,72143203000,42221594000,12065512000,15843981000,988056000,1614583000,38079786000,256901324819.25,"Consumer Non-Cyclicals",29921609000,2602639000,1,271305322845.198,69085180000,0.229339794728768,0.611152695845911,26.2719578979943,25.0019189112144,0.122413887255549,0.198451412141822,0.527836087344223,0,1,0.229339794728768,0.611152695845911,0.036076011207875
