"cod","ano","mes","dia","at","pl","ll","ebit","deb_cp","deb_lp","rec","vm","pais","setor","pat","debt","dif_ano","l_vm","l_at","ebit_at","pl_at","log_vm","log_at","var_rec","risk","effi","crise","ifrs","ebit_ifrs","pl_ifrs","div_at","cap"
"ALUA.BA",2009,6,30,1933941765.4809,773504874.83531,-35964234.5191041,157237610.013175,86330961.7918314,562680105.401845,872352305.665349,1968240388.40047,"Argentina","Basic Materials",1160436890.64559,649011067.193676,1,1209123823.31643,2204977005.78991,0.0713103173413123,0.350799519815496,21.4004057766944,21.3828261226043,0.272008679868133,-0.524746613021745,0.45107475376769,1,0,0,0,0.335589767374558,0.892635335077052
"ALUA.BA",2010,6,30,1846326885.49618,1171153826.97201,119503745.547074,212346765.903308,3310150.12722646,238474005.089059,989577384.223919,2670218978.10219,"Argentina","Basic Materials",675173058.52417,241784155.216285,1,1968240388.40047,1933941765.4809,0.10979997934452,0.605578641444143,21.7054263202661,21.3364640350842,0.0112129049460595,0.5855218096095,0.535970846764754,0,0,0,0,0.130954143123637,1.380713228166
"ALUA.BA",2011,6,30,1956582014.12567,1251081113.00536,186620185.094983,236194055.041403,89312040.9157331,181363672.674135,1135212886.02046,1513063994.97896,"Argentina","Basic Materials",705500901.12031,270675713.589868,1,2670218978.10219,1846326885.49618,0.127926455979613,0.677605424496186,21.1374025676056,21.3944649175328,-0.189032723338298,-0.112536190171423,0.580202045109644,0,0,0,0,0.13834110281895,0.819499519215602
"ALUA.BA",2012,6,30,1784571064.08359,1125842956.54863,70740513.3755992,139681532.616139,224591371.578785,128410877.200733,1077975758.24516,1232179226.06924,"Argentina","Basic Materials",658728107.53496,353002248.779518,1,1513063994.97896,1956582014.12567,0.071390583991726,0.575413117579807,20.9320501671827,21.302443923068,0.0637012671520492,-0.104999443125942,0.604053141923334,0,1,0.071390583991726,0.575413117579807,0.197807896745648,0.6297610921359
"ALUA.BA",2013,6,30,1525370139.27577,971619630.454967,41540991.6434541,109056014.856082,161163149.489322,118330887.650882,1090952358.40297,1442270809.35941,"Argentina","Basic Materials",553750508.820803,279494037.140204,1,1232179226.06924,1784571064.08359,0.061110491507428,0.544455555741016,21.0894846593968,21.1455029318346,-0.163867926373023,-0.0701782596703424,0.715205005206764,0,1,0.061110491507428,0.544455555741016,0.183230305840984,0.808189059201205
"ALUA.BA",2014,6,30,1154222431.58477,720268076.994035,85876098.64092,158768351.26991,87882842.3836173,75557088.7399299,937207251.706537,2473595466.14833,"Argentina","Basic Materials",433954354.590735,163439931.123547,1,1442270809.35941,1525370139.27577,0.104085131327726,0.472192327913283,21.6289385834596,20.8666927347991,0.258402742210403,0.231845690670518,0.811981491660782,0,1,0.104085131327726,0.472192327913283,0.141601762928087,1.6216362196016
"AUSO.BA",2006,12,31,506353265.953619,117586942.727243,-8641451.60762764,12999790.6649658,30302377.9151539,302514293.657803,63639950.2829294,14995539.4563831,"Argentina","Industrials",388766323.226376,332816671.572957,1,19147623.294685,532460396.039604,0.0244145682226456,0.220836974170933,16.5232633452689,20.0427451377141,-0.0649374476338207,0.0223605629443621,0.12568290670166,0,0,0,0,0.657281573855677,0.0281627320415165
"AUSO.BA",2007,12,31,481956189.266434,100469180.692283,-13694163.2264211,7338399.49190219,11978088.2819943,317305039.695141,66660863.766275,14893550.5430295,"Argentina","Industrials",381487008.574151,329283127.977135,1,14995539.4563831,506353265.953619,0.014492647693467,0.198417167317107,16.5164388277482,19.9933637742457,-0.0603601675746322,-0.0326563838011013,0.13831311901552,0,0,0,0,0.683222117093929,0.0294133592976444
"AUSO.BA",2008,12,31,412889236.784938,50572512.6719768,-41064593.7726285,407131.064446054,8820002.89645185,311649141.202027,65735194.7863867,8394791.22375091,"Argentina","Industrials",362316724.112961,320469144.098479,1,14893550.5430295,481956189.266434,0.000844747040318606,0.104931763090233,15.9431219790661,19.8386899231514,0.28462060655665,0.0342918991735191,0.159207818780285,1,0,0,0,0.776162504486408,0.0174181625025467
"AUSO.BA",2009,12,31,358890753.027909,2776142.70668773,-43195842.5487098,14622530.2790943,319585437.072143,0,86165642.4433913,6084874.25797139,"Argentina","Industrials",356114610.321221,319585437.072143,1,8394791.22375091,412889236.784938,0.0354151403726485,0.00672369841438551,15.6213166199292,19.6985285910267,-0.0465203629849063,-0.182984408941487,0.240088778316032,1,0,0,0,0.890481112639006,0.0147373041383998
