"","cod","ano","at","pl","ll","ebit","deb_cp","deb_lp","rec","vm","setor","pat","debt","dif_ano","l_vm","l_at","ebit_at","pl_at","log_vm","log_at","var_rec","risk","effi","crise","ifrs","ebit_ifrs","pl_ifrs","div_at"
"11","ABEV3.SA",2009,40101017000,22017450000,5986050000,9178571000,801064000,6460173000,23194048000,51122699370,"Consumer Non-Cyclicals",18083567000,7261237000,1,29295635784.1298,41812972000,0.219514915132079,0.526569840574834,24.657494450199,24.4146675325333,-0.0288561800854862,0.163525449304005,0.578390518125762,1,0,0,0,0.181073637110001
"12","ABEV3.SA",2010,42678300000,24361863000,7561383000,10023094000,2606228000,4155686000,25233310000,75684769146,"Consumer Non-Cyclicals",18316437000,6761914000,1,51122699370,40101017000,0.249946129795162,0.607512348128228,25.0498427769614,24.476956431284,-0.0119150169865683,0.101200500294328,0.591244496617719,0,1,0.249946129795162,0.607512348128228,0.158439159947795
"13","ABEV3.SA",2011,46139418000,25611320000,8640976000,11709923000,2212078000,1890208000,27126719000,95611989072.5999,"Consumer Non-Cyclicals",20528098000,4102286000,1,75684769146,42678300000,0.274376509842238,0.600101691023307,25.28356405785,24.5549334758283,0.100056140865053,0.464975568791079,0.587929370933981,0,1,0.274376509842238,0.600101691023307,0.0889106576940351
"14","ABEV3.SA",2012,61832875000,25206600000,6327291000,13630320000,837772000,2287402000,32231027000,146932469129.7,"Consumer Non-Cyclicals",36626275000,3125174000,1,95611989072.5999,46139418000,0.295415949980123,0.546313783151751,25.713238924496,24.8477010178994,-0.0877342258798306,-0.918080713014078,0.521260365137477,0,1,0.295415949980123,0.546313783151751,0.0505422722136081
"15","ABEV3.SA",2013,69085180000,42992457000,9557324000,15442191000,1040603000,1845846000,35079107000,271305322845.198,"Consumer Non-Cyclicals",26092723000,2886449000,1,146932469129.7,61832875000,0.249740789183747,0.695300954387128,26.3265106761947,24.9586060729376,-0.00259827195779637,0.476033881030821,0.507766021598265,0,1,0.249740789183747,0.695300954387128,0.0417810158416031
"16","ABEV3.SA",2014,72143203000,42221594000,12065512000,15843981000,988056000,1614583000,38079786000,256901324819.25,"Consumer Non-Cyclicals",29921609000,2602639000,1,271305322845.198,69085180000,0.229339794728768,0.611152695845911,26.2719578979943,25.0019189112144,0.122413887255549,0.198451412141822,0.527836087344223,0,1,0.229339794728768,0.611152695845911,0.036076011207875
"17","ABEV3.SA",2015,90176234000,48331883000,12423771000,18781592000,1282573000,2286461000,46720141000,280559435229.15,"Consumer Non-Cyclicals",41844351000,3569034000,1,256901324819.25,72143203000,0.260337650935737,0.6699436813195,26.3600514297636,25.2250317481447,-0.228703245606264,-0.405351381441441,0.518098160985521,0,1,0.260337650935737,0.6699436813195,0.0395784326056464
"18","ABEV3.SA",2016,83841418000,44825048000,12546610000,17100375000,3630604000,1732673000,45602561000,257768892871.6,"Consumer Non-Cyclicals",39016370000,5363277000,1,280559435229.15,90176234000,0.18963283607519,0.497082723592116,26.2753292563681,25.1521929705441,0.0733479915269613,0.16301517908186,0.543914476732729,0,1,0.18963283607519,0.497082723592116,0.0639693021413354
"19","ABEV3.SA",2017,88766374000,45945702000,7268959000,16549010000,1699358000,2831189000,47899276000,334470856116.317,"Consumer Non-Cyclicals",42820672000,4530547000,1,257768892871.6,83841418000,0.197384662554252,0.548007215240563,26.5358155860114,25.2092737440593,-0.00159784667713622,-0.174610721245066,0.539610596237715,0,1,0.197384662554252,0.548007215240563,0.0510390004214884
"20","ABEV3.SA",2018,95714417000,56248007000,10994961000,17155327000,1941221000,850715000,50231336000,241806625643.18,"Consumer Non-Cyclicals",39466410000,2791936000,1,334470856116.317,88766374000,0.193263802799921,0.633663452333876,26.2114041760883,25.284634771917,-0.0128355453651345,0.106556517090746,0.524804283141588,0,1,0.193263802799921,0.633663452333876,0.0291694405869912
